unnamed:_0,year_label,export_value,year,export_value_eur_million,category
Fish,cy_2016_tonnes,201443170.0,2016,201443170.0,Fish
Forestry & Wood products,cy_2016_value,415891412.0,2016,415891412.0,Forestry & Wood products
Forestry & Wood products,cy_2016_tonnes,1248770160.0,2016,1248770160.0,Forestry & Wood products
Fruit & Vegetables,cy_2016_value,163609090.0,2016,163609090.0,Fruit & Vegetables
Fruit & Vegetables,cy_2016_tonnes,75705650.0,2016,75705650.0,Fruit & Vegetables
Fruit & Vegetables Based Products,cy_2016_value,116053604.0,2016,116053604.0,Fruit & Vegetables Based Products
Fruit & Vegetables Based Products,cy_2016_tonnes,87769945.0,2016,87769945.0,Fruit & Vegetables Based Products
Grand Total,cy_2016_value,12527142544.0,2016,12527142544.0,Grand Total
Grand Total,cy_2016_tonnes,6270736869.0,2016,6270736869.0,Grand Total
Live Animals,cy_2016_value,339977329.0,2016,339977329.0,Live Animals
Live Animals,cy_2016_tonnes,64823186.0,2016,64823186.0,Live Animals
Miscellaneous Edible Products & Preparations,cy_2016_value,367181943.0,2016,367181943.0,Miscellaneous Edible Products & Preparations
Miscellaneous Edible Products & Preparations,cy_2016_tonnes,91530029.0,2016,91530029.0,Miscellaneous Edible Products & Preparations
"Oils, Fats & Oleaginous Fruits",cy_2016_value,83637562.0,2016,83637562.0,"Oils, Fats & Oleaginous Fruits"
"Oils, Fats & Oleaginous Fruits",cy_2016_tonnes,130295410.0,2016,130295410.0,"Oils, Fats & Oleaginous Fruits"
Other Meat & Meat Produce,cy_2016_value,58327940.0,2016,58327940.0,Other Meat & Meat Produce
Other Meat & Meat Produce,cy_2016_tonnes,76838782.0,2016,76838782.0,Other Meat & Meat Produce
Pigmeat,cy_2016_value,733933371.0,2016,733933371.0,Pigmeat
Pigmeat,cy_2016_tonnes,265353457.0,2016,265353457.0,Pigmeat
Poultry,cy_2016_value,259630575.0,2016,259630575.0,Poultry
Poultry,cy_2016_tonnes,119603344.0,2016,119603344.0,Poultry
Sheepmeat,cy_2016_value,277105623.0,2016,277105623.0,Sheepmeat
Sheepmeat,cy_2016_tonnes,55844804.0,2016,55844804.0,Sheepmeat
"Sugar, Sugar Preparation & Honey",cy_2016_value,209199642.0,2016,209199642.0,"Sugar, Sugar Preparation & Honey"
"Sugar, Sugar Preparation & Honey",cy_2016_tonnes,35035217.0,2016,35035217.0,"Sugar, Sugar Preparation & Honey"
"Wool, Flax & Cotton",cy_2016_value,12329607.0,2016,12329607.0,"Wool, Flax & Cotton"
"Wool, Flax & Cotton",cy_2016_tonnes,7603537.0,2016,7603537.0,"Wool, Flax & Cotton"
,cy_2016_value,,2016,,nan
,cy_2016_value,,2016,,nan
,cy_2016_tonnes,,2016,,nan
,cy_2016_tonnes,,2016,,nan
Animal Feed,cy_2017_value,360734374.0,2017,360734374.0,Animal Feed
Animal Feed,cy_2017_tonnes,780711982.0,2017,780711982.0,Animal Feed
Animal Skins & Furs,cy_2017_value,138296733.0,2017,138296733.0,Animal Skins & Furs
Animal Skins & Furs,cy_2017_tonnes,92297087.0,2017,92297087.0,Animal Skins & Furs
Beef,cy_2017_value,2402515789.0,2017,2402515789.0,Beef
Beef,cy_2017_tonnes,547153484.0,2017,547153484.0,Beef
Beverages,cy_2017_value,1363532833.0,2017,1363532833.0,Beverages
Beverages,cy_2017_tonnes,825554930.0,2017,825554930.0,Beverages
Cereal & cereal preparation,cy_2017_value,386687632.0,2017,386687632.0,Cereal & cereal preparation
Cereal & cereal preparation,cy_2017_tonnes,266697643.0,2017,266697643.0,Cereal & cereal preparation
"Coffee, Tea, Cocoa & Spices",cy_2017_value,374029638.0,2017,374029638.0,"Coffee, Tea, Cocoa & Spices"
"Coffee, Tea, Cocoa & Spices",cy_2017_tonnes,64464266.0,2017,64464266.0,"Coffee, Tea, Cocoa & Spices"
Crude Animal & Vegetable Material,cy_2017_value,139384011.0,2017,139384011.0,Crude Animal & Vegetable Material
Crude Animal & Vegetable Material,cy_2017_tonnes,102497631.0,2017,102497631.0,Crude Animal & Vegetable Material
Dairy Produce,cy_2017_value,4740711195.0,2017,4740711195.0,Dairy Produce
Dairy Produce,cy_2017_tonnes,1374574653.0,2017,1374574653.0,Dairy Produce
Egg,cy_2017_value,24353204.0,2017,24353204.0,Egg
Egg,cy_2017_tonnes,8031631.0,2017,8031631.0,Egg
Fish,cy_2017_value,617531886.0,2017,617531886.0,Fish
Fish,cy_2017_tonnes,241425382.0,2017,241425382.0,Fish
Forestry & Wood products,cy_2017_value,434263754.0,2017,434263754.0,Forestry & Wood products
Forestry & Wood products,cy_2017_tonnes,1387384915.0,2017,1387384915.0,Forestry & Wood products
Fruit & Vegetables,cy_2017_value,162900481.0,2017,162900481.0,Fruit & Vegetables
Fruit & Vegetables,cy_2017_tonnes,74819480.0,2017,74819480.0,Fruit & Vegetables
Fruit & Vegetables Based Products,cy_2017_value,137712140.0,2017,137712140.0,Fruit & Vegetables Based Products
Fruit & Vegetables Based Products,cy_2017_tonnes,97259926.0,2017,97259926.0,Fruit & Vegetables Based Products
Grand Total,cy_2017_value,13913364141.0,2017,13913364141.0,Grand Total
Grand Total,cy_2017_tonnes,6779501715.0,2017,6779501715.0,Grand Total
Live Animals,cy_2017_value,440284362.0,2017,440284362.0,Live Animals
Live Animals,cy_2017_tonnes,72852962.0,2017,72852962.0,Live Animals
Miscellaneous Edible Products & Preparations,cy_2017_value,492174609.0,2017,492174609.0,Miscellaneous Edible Products & Preparations
Miscellaneous Edible Products & Preparations,cy_2017_tonnes,93660497.0,2017,93660497.0,Miscellaneous Edible Products & Preparations
"Oils, Fats & Oleaginous Fruits",cy_2017_value,94588087.0,2017,94588087.0,"Oils, Fats & Oleaginous Fruits"
"Oils, Fats & Oleaginous Fruits",cy_2017_tonnes,125001218.0,2017,125001218.0,"Oils, Fats & Oleaginous Fruits"
Other Meat & Meat Produce,cy_2017_value,59627207.0,2017,59627207.0,Other Meat & Meat Produce
Other Meat & Meat Produce,cy_2017_tonnes,81234726.0,2017,81234726.0,Other Meat & Meat Produce
Pigmeat,cy_2017_value,793698482.0,2017,793698482.0,Pigmeat
Pigmeat,cy_2017_tonnes,277324264.0,2017,277324264.0,Pigmeat
Poultry,cy_2017_value,278291351.0,2017,278291351.0,Poultry
Poultry,cy_2017_tonnes,136846360.0,2017,136846360.0,Poultry
Sheepmeat,cy_2017_value,310053686.0,2017,310053686.0,Sheepmeat
Sheepmeat,cy_2017_tonnes,62434029.0,2017,62434029.0,Sheepmeat
"Sugar, Sugar Preparation & Honey",cy_2017_value,154454505.0,2017,154454505.0,"Sugar, Sugar Preparation & Honey"
"Sugar, Sugar Preparation & Honey",cy_2017_tonnes,61798540.0,2017,61798540.0,"Sugar, Sugar Preparation & Honey"
"Wool, Flax & Cotton",cy_2017_value,7538185.0,2017,7538185.0,"Wool, Flax & Cotton"
"Wool, Flax & Cotton",cy_2017_tonnes,5476108.0,2017,5476108.0,"Wool, Flax & Cotton"
,cy_2017_value,,2017,,nan
,cy_2017_value,,2017,,nan
,cy_2017_tonnes,,2017,,nan
,cy_2017_tonnes,,2017,,nan
Animal Feed,cy_2018_value,385330749.0,2018,385330749.0,Animal Feed
Animal Feed,cy_2018_tonnes,808843409.0,2018,808843409.0,Animal Feed
Animal Skins & Furs,cy_2018_value,107690433.0,2018,107690433.0,Animal Skins & Furs
Animal Skins & Furs,cy_2018_tonnes,91608843.0,2018,91608843.0,Animal Skins & Furs
Beef,cy_2018_value,2434585755.0,2018,2434585755.0,Beef
Beef,cy_2018_tonnes,534541876.0,2018,534541876.0,Beef
Beverages,cy_2018_value,1443812983.0,2018,1443812983.0,Beverages
Beverages,cy_2018_tonnes,871005117.0,2018,871005117.0,Beverages
Cereal & cereal preparation,cy_2018_value,408023288.0,2018,408023288.0,Cereal & cereal preparation
Cereal & cereal preparation,cy_2018_tonnes,281439578.0,2018,281439578.0,Cereal & cereal preparation
"Coffee, Tea, Cocoa & Spices",cy_2018_value,385220840.0,2018,385220840.0,"Coffee, Tea, Cocoa & Spices"
"Coffee, Tea, Cocoa & Spices",cy_2018_tonnes,66371733.0,2018,66371733.0,"Coffee, Tea, Cocoa & Spices"
Crude Animal & Vegetable Material,cy_2018_value,130597212.0,2018,130597212.0,Crude Animal & Vegetable Material
Crude Animal & Vegetable Material,cy_2018_tonnes,122337077.0,2018,122337077.0,Crude Animal & Vegetable Material
Dairy Produce,cy_2018_value,4650418450.0,2018,4650418450.0,Dairy Produce
Dairy Produce,cy_2018_tonnes,1440030506.0,2018,1440030506.0,Dairy Produce
Egg,cy_2018_value,23582084.0,2018,23582084.0,Egg
Egg,cy_2018_tonnes,9149063.0,2018,9149063.0,Egg
Fish,cy_2018_value,576514622.0,2018,576514622.0,Fish
Fish,cy_2018_tonnes,226313590.0,2018,226313590.0,Fish
Forestry & Wood products,cy_2018_value,477410626.0,2018,477410626.0,Forestry & Wood products
Forestry & Wood products,cy_2018_tonnes,1415155087.0,2018,1415155087.0,Forestry & Wood products
Fruit & Vegetables,cy_2018_value,145708501.0,2018,145708501.0,Fruit & Vegetables
Fruit & Vegetables,cy_2018_tonnes,69097707.0,2018,69097707.0,Fruit & Vegetables
Fruit & Vegetables Based Products,cy_2018_value,176896030.0,2018,176896030.0,Fruit & Vegetables Based Products
